label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes
UGC 438,NGC 214,ANDROMEDA,12.3,autumn,1.9,00 41.5,+25 30,Galaxy - ,,,pF;pS;gvlbM;R ,H II 209;UGC 438 
UGC 440,NGC 218,ANDROMEDA,14,autumn,1.1,00 41.7,+36 22,Galaxy - ,,,eF;vS;R;gbM, 
M 32 ,NGC 221,ANDROMEDA,8.1,autumn,8.5,00 42.7,+40 52,Galaxy - ,, M,vvB;L;R;psmbMN ,Companion to M31; Member of Local Group 
M 31 ,NGC 224,ANDROMEDA,3.4,autumn,189,00 42.7,+41 16,Galaxy - ,, M,!!!eeB;eL;vmE ,Local Group;Andromeda Galaxy;nearest spiral 
UGC 459,NGC 226,ANDROMEDA,13.3,autumn,0.9,00 42.9,+32 35,Galaxy - ,,,eF;S;R;* 13 s 20'' , 
UGC 458,NGC 228,ANDROMEDA,13.7,autumn,1.2,00 42.9,+23 30,Galaxy - ,,,eF;S;R;fainter of 2 ,2nd of 3 
MCG 4- 2- 49,NGC 229,ANDROMEDA,14.5,autumn,1,00 43.1,+23 31,Galaxy - ,,,vF;S;R;smaller of 2 , 
UGC 464,NGC 233,ANDROMEDA,12.4,autumn,1.7,00 43.6,+30 35,Galaxy - ,,,F;vS;R;lbM,H III 149 
PGC 2666,AND I ,ANDROMEDA,13.2,autumn,4.0,00 45.7,+38 03,Galaxy - ,,,,Andromeda Dwarf;Member Local Group 
MCG 5- 2- 43,NGC 243,ANDROMEDA,13.6,autumn,0.9,00 46.0,+29 58,Galaxy - ,,,F;vS;R;gbM;* 10 p , 
UGC 491,NGC 252,ANDROMEDA,12.4,autumn,1.4,00 48.0,+27 37,Galaxy - ,,,pB;S;R;pmbM;r;** p ,H II 609;Brightest in group;UGC 491 
MCG 4- 3- 5,NGC 258,ANDROMEDA,15,autumn,0.5,00 48.2,+27 39,Galaxy - ,,,eF;S;vfclose, 
UGC 497,NGC 260,ANDROMEDA,13.5,autumn,0.8,00 48.6,+27 41,Galaxy - ,,,eF;pS;lE ,NGC 252 group 
UGC 499;Mrk 348 ,NGC 262,ANDROMEDA,13.1,autumn,1.4,00 48.8,+31 57,Galaxy - ,,,eF;vS;R;v diffic, 
OCL 312,NGC 272,ANDROMEDA,8.5,autumn,,00 51.4,+35 49,Open Cluster - 8,9,,Cl;L;lC , 
UGC 534,NGC 280,ANDROMEDA,13.2,autumn,1.7,00 52.5,+24 21,Galaxy - ,,,eF;S;R;*15 f 30'' ,H III 477;distorted;asym ecc nucl region;UGC 534 
UGC 573,NGC 304,ANDROMEDA,13,autumn,1.1,00 56.1,+24 08,Galaxy - ,,,pF;S;R;svlbM ,eruptive ?;sff of 2 
NGC 317-1,NGC 317A ,ANDROMEDA,14.5,autumn,1.4,00 57.7,+43 48,Galaxy - ,,,eeF;pS;lE;Dclose f, 
NGC 317-2,NGC 317B ,ANDROMEDA,13.9,autumn,1.1,00 57.7,+43 47,Galaxy - ,,,, 
UGC 625,IC65,ANDROMEDA,12.8,autumn,3.9,01 00.9,+47 41,Galaxy - ,,,eF;pL;mE;B star sf , 
UGC 703,NGC 389,ANDROMEDA,13.8,autumn,1.3,01 08.5,+39 42,Galaxy - ,,,eF;eS;R;* nr , 
UGC 707,NGC 393,ANDROMEDA,12.5,autumn,1.7,01 08.6,+39 39,Galaxy - ,,,F;vS;vlE;gbM;4 S st nr ,H I 54 
UGC 718,NGC 404,ANDROMEDA,10.3,autumn,4.3,01 09.4,+35 43,Galaxy - ,, H ,pB;cL;R;gbM,H II 224;UGC 718;Beta AND sf 6' 
UGC 758,NGC 425,ANDROMEDA,12.6,autumn,1,01 13.0,+38 46,Galaxy - ,,,vF;vS;R;lbM;* 11 att, 
UGC 776,NGC 431,ANDROMEDA,12.9,autumn,1.4,01 14.1,+33 42,Galaxy - ,,,F;S;vsbM , 
 ,NGC 464,ANDROMEDA,99.9,autumn,,01 19.4,+34 57,2 Star - ,,,S, 
UGC 886,NGC 477,ANDROMEDA,13,autumn,2.2,01 21.3,+40 29,Galaxy - ,,,vF;pS;vlE;vglbM,H III 577;2 main arms split into several secondary arms;UGC 886 
UGC 944,NGC 512,ANDROMEDA,13.2,autumn,1.6,01 24.0,+33 54,Galaxy - ,,,vF;vS, 
UGC 953,NGC 513,ANDROMEDA,12.9,autumn,0.7,01 24.4,+33 48,Galaxy - ,,,F;S;stellar,H III 169;UGC 953 
