IC0167,,Aries,11.69,,1.85569394,51.15,21.91280556,Galaxy,
IC0168,,Cetus,10.38,,1.185959527,50.46666667,-8.522944444,Galaxy,
IC0169,,Cetus,11.04,,0.898721314,50.65,-12.67961111,Galaxy,
IC0170,,Cetus,11.39,,0.984073168,51.96666667,-8.517611111,Galaxy,
IC0171,,Triangulum,8.89,,2.952558213,55.16666667,35.28188889,Galaxy,
IC0172,,Cetus,11.36,,0.606052803,54.9,0.811222222,Galaxy,
IC0173,,Cetus,11.35,,1.168246549,55.95,1.285166667,Galaxy,
IC0174,,Pisces,10.54,,1.788910283,56.26666667,3.761861111,Galaxy,
IC0175,,Cetus,12.03,,0.694262198,56.31666667,1.332416667,Galaxy,
IC0176,,Cetus,11.08,,1.820109887,56.88333333,-2.018972222,Galaxy,
IC0177,,Cetus,11.88,,0.693541635,57.01666667,-0.089861111,Galaxy,
IC0178,,Andromeda,10.1,,1.227884359,58.91666667,36.67469444,Galaxy,
IC0179,,Andromeda,9.47,,1.436802004,0.2,38.02133333,Galaxy,
IC0180,,Aries,10.85,,0.89693924,0,23.60433333,Galaxy,
IC0181,,Aries,11.75,,0.751664819,0.033333333,23.65863889,Galaxy,
IC0182,,Pisces,11.17,,1.270275561,59.86666667,7.411833333,Galaxy,
IC0183,,Cetus,10.63,,1.246194206,59.56666667,-5.347138889,Galaxy,
IC0184,,Cetus,10.62,,1.26589889,59.85,-6.840388889,Galaxy,
IC0185,,Cetus,11.4,,0.856154192,0.1,-1.528333333,Galaxy,
IC0186,,Cetus,0,,1.1,0.4,-1.551722222,3x Galaxies,Contains the GPair MCG +00-06-021.
IC0186A,,Cetus,10.52,,1.428880681,0.4,-1.552861111,Galaxy,
IC0186B,,Cetus,15.8,,0.834865259,0.416666667,-1.549805556,Galaxy,
IC0186 NED03,,Cetus,0,,0.320156212,0.416666667,-1.550833333,Galaxy,
IC0187,,Triangulum,10.1,,2.346444118,1.516666667,26.48097222,Galaxy,
IC0188,,Triangulum,10.78,,0.608276253,1.766666667,26.54688889,Galaxy,
IC0189,,Aries,11.26,,1.028250942,1.883333333,23.5515,Galaxy,
IC0190,,Aries,10.91,,0.320156212,2.116666667,23.54983333,Galaxy,
IC0191, NGC794,Aries,0,,0,2.483333333,18.373,DELETE,
IC0192,,Aries,10.74,,1.162497312,2.533333333,16.01416667,Galaxy,
IC0193,,Aries,10.48,,1.670478973,2.516666667,11.09308333,Galaxy,
