label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,,,
NGC573,UGC1078,ANDROMEDA,13.1,autumn,0.4,22.7,41.25,Galaxy,vF;vS;R;gbM,,,
NGC591,UGC1111,ANDROMEDA,12.9,autumn,1.3,23.375,35.66666667,Galaxy,eF;pS;R;lbM;B* sf ,,,
NGC590,UGC1109,ANDROMEDA,12.9,autumn,2.6,23.425,44.93333333,Galaxy,F;vS;(rr) ,,,
NGC605,UGC1128,ANDROMEDA,12.9,autumn,2.2,23.75,41.25,Galaxy,vF;vS;R;bM,,,
NGC620,UGC1150,ANDROMEDA,14,autumn,1,24.25,42.31666667,Galaxy,eF;vS;R;lbM,,,
PK130-11.1,M1-1,ANDROMEDA,14.3,autumn,0.1,24.325,50.46666667,Planetary Nebula,,,,
NGC653,UGC1193,ANDROMEDA,13.4,autumn,1.5,25.6,35.63333333,Galaxy,vF;pL;mE;lbM;sevinv ,,,
NGC662,UGC1220,ANDROMEDA,12.9,autumn,0.8,26.15,37.7,Galaxy,F;S;R;mbM ,,,
NGC668,UGC1238,ANDROMEDA,13.1,autumn,1.8,26.6,36.46666667,Galaxy,pF;pS;R;gbM,,,
NGC679,UGC1283,ANDROMEDA,12.3,autumn,2.1,27.425,35.78333333,Galaxy,F;stellar ,,,
NGC687,UGC1298,ANDROMEDA,12.3,autumn,1.4,27.65,36.36666667,Galaxy,vF;stellar,,,
NGC700,ZwG522.30,ANDROMEDA,14.4,autumn,0.8,28.075,36.03333333,Galaxy,eF;vS;R;sp 703 ,,,
NGC704,UGC1343,ANDROMEDA,14,autumn,0.6,28.15,36.13333333,Galaxy,vF;vS;R;2nd of 4,,,
Abell262,,ANDROMEDA,13,autumn,100.8,28.175,36.15,Galaxy clust.,,,,
NGC703,UGC1346,ANDROMEDA,13.3,autumn,1.2,28.175,36.16666667,Galaxy,vF;vS;R;0.0666667t of 4,,,
NGC705,UGC1345,ANDROMEDA,13.6,autumn,1.2,28.175,36.15,Galaxy,vF;vS;R;3rd of 4,,,
NGC708,UGC1348,ANDROMEDA,12.7,autumn,3,28.2,36.15,Galaxy,F;pL;bM;4th of 4,,,
NGC709,ZwG522.40,ANDROMEDA,14.3,autumn,1,28.2,36.21666667,Galaxy,vF;pS;bet 2*;group sp,,,
NGC710,UGC1349,ANDROMEDA,13.7,autumn,1.3,28.225,36.05,Galaxy,vF;pS;2*S ,,,
NGC712,UGC1352,ANDROMEDA,12.8,autumn,1.3,28.275,36.81666667,Galaxy,vF;R;am pB stars,,,
NGC714,UGC1358,ANDROMEDA,13.1,autumn,1.5,28.375,36.21666667,Galaxy,F;vS;R;2*13 p & np ,,,
NGC717,UGC1363,ANDROMEDA,13.9,autumn,1.3,28.475,36.23333333,Galaxy,vF;pS;*15 sf 1',,,
NGC721,UGC1376,ANDROMEDA,13.5,autumn,1.7,28.7,39.38333333,Galaxy,eF;pL,,,
UGC1385,Mrk2,ANDROMEDA,13.4,autumn,0.8,28.725,36.91666667,Galaxy,,,,
NGC732,UGC1406,ANDROMEDA,13.5,autumn,1.4,29.125,36.8,Galaxy,vF*Inv vF;vS;R;neby ,,,
NGC752,OCL363,ANDROMEDA,5.7,autumn,50,29.425,37.66666667,Open Cluster60,Cl;vvL;Ri;*L & S;C , CH ,,
NGC753,UGC1437,ANDROMEDA,12.3,autumn,2.5,29.425,35.91666667,Galaxy,pB;pL;R;gmbM ,,,
NGC759,UGC1440,ANDROMEDA,12.7,autumn,1.8,29.45,36.35,Galaxy,Cl;vS;R ,,,
NGC746,UGC1438,ANDROMEDA,13,autumn,1.9,29.475,44.91666667,Galaxy,vF;pS;lE;sevnr ,,,
NGC797,UGC1541,ANDROMEDA,12.6,autumn,1.6,30.875,38.11666667,Galaxy,vF;S;iR;sbM;* nr,,,
NGC801,UGC1550,ANDROMEDA,13.1,autumn,3.1,30.925,38.26666667,Galaxy,eF;pS;iR;D* close f ,,,
NGC812,UGC1598,ANDROMEDA,11.2,autumn,3,31.725,44.56666667,Galaxy,eF;pL;E45;bM ,,,
NGC818,UGC1633,ANDROMEDA,12.5,autumn,2.9,32.175,38.78333333,Galaxy,pB;cL;lE;mbM ,,,
NGC828,UGC1655,ANDROMEDA,12.3,autumn,2.9,32.55,39.18333333,Galaxy,pB;S;iR;D* f 15'' ,,,
NGC834,UGC1672,ANDROMEDA,13.1,autumn,1.1,32.75,37.66666667,Galaxy,vF;S;lE ,,,
NGC841,UGC1676,ANDROMEDA,12.6,autumn,1.8,32.825,37.5,Galaxy,pB;vS;mbMN=*13;14 ,,,
NGC846,NGC847,ANDROMEDA,12.1,autumn,1.9,33.05,44.56666667,Galaxy,eF;vS;R;gbM,,,
NGC847,NGC846,ANDROMEDA,13.1,autumn,1.9,33.05,44.56666667,Galaxy,vF;pL;R ,,,
NGC845,UGC1695,ANDROMEDA,13.5,autumn,1.7,33.075,37.48333333,Galaxy,vF;iF;stellar ,,,
NGC891,UGC1831,ANDROMEDA,9.9,autumn,13.1,35.65,42.35,Galaxy,B;vL;vmE22,BCH ,,
NGC898,UGC1842,ANDROMEDA,12.9,autumn,1.8,35.825,41.95,Galaxy,eF;vS;lE ,,,
Abell347,,ANDROMEDA,13,autumn,56,36.275,41.86666667,Galaxy clust.,13''-2 gals F;pS;R;nBM;6 others vF;S at 165X ,,,
NGC906,UGC1868,ANDROMEDA,12.9,autumn,1.8,36.325,42.08333333,Galaxy,eF;iE,,,
NGC909,UGC1872,ANDROMEDA,13.3,autumn,0.9,36.35,42.03333333,Galaxy,vF;vS;vS* inv ,,,
NGC910,UGC1875,ANDROMEDA,12.2,autumn,2,36.35,41.81666667,Galaxy,vF;pS;stellar ,,,
NGC911,UGC1878,ANDROMEDA,12.7,autumn,1.7,36.425,41.95,Galaxy,eF;vS;R;bM,,,
NGC912,MCG7-6-15,ANDROMEDA,15,autumn,0.9,36.425,41.78333333,Galaxy,F;vS;R;bM ,,,
NGC913,,ANDROMEDA,15.8,autumn,0.5,36.425,41.8,Galaxy,eF;vS;lbM ,,,
NGC914,UGC1887,ANDROMEDA,13,autumn,1.8,36.525,42.15,Galaxy,eF;pL;dif ,,,
NGC923,UGC1915,ANDROMEDA,13.7,autumn,0.8,36.9,41.98333333,Galaxy,vF;S;R;gsBM,,,
NGC920,UGC1920,ANDROMEDA,13.9,autumn,1.5,36.975,45.95,Galaxy,eF;eS;R;1or2 eF* nr ,,,
NGC933,UGC1956,ANDROMEDA,13.8,autumn,1.3,37.325,45.91666667,Galaxy,eF;eS;R;B* nf ,,,
NGC937,UGC1961,ANDROMEDA,14.2,autumn,1.1,37.375,42.25,Galaxy,vF* slightly neb,,,
NGC946,UGC1979,ANDROMEDA,13.2,autumn,1.5,37.65,42.23333333,Galaxy,F;S;R;glbM,,,
NGC956,OCL377,ANDROMEDA,8.9,autumn,8,38.125,44.6,Open Cluster30,Cl;pRi;*9...15 ,,,
UGC2034,PGC9759,ANDROMEDA,13.1,autumn,3.1,38.425,40.53333333,Galaxy,13''-eF;pS;E 1.5X1; PA 0; nBM; *10m E tip,,,
NGC980,UGC2063,ANDROMEDA,13,autumn,1.7,38.825,40.93333333,Galaxy,vF;pS;sp of 2 ,,,
NGC982,UGC2066,ANDROMEDA,12.5,autumn,1.5,38.85,40.86666667,Galaxy,F;S;nf of 2,,,
NGC995,UGC2118,ANDROMEDA,13.4,autumn,1.7,39.625,41.53333333,Galaxy,vF;vS,,,
NGC996,UGC2123,ANDROMEDA,13,autumn,1.4,39.675,41.65,Galaxy,vF;vS,,,
NGC999,IC240,ANDROMEDA,13.5,autumn,0.9,39.7,41.66666667,Galaxy,eF ,,,
NGC1000,MCG7-6-48,ANDROMEDA,15.5,autumn,0.8,39.7,41.46666667,Galaxy,1637;pS;dif,,,
NGC7440,UGC12276,ANDROMEDA,13.5,autumn,1.4,344.625,35.8,Galaxy,eF;S;iR ,,,
