label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,
King8, ,AURIGA,11.2,winter,8,5.821666667,33.63333333,Open Cluster - 30,13''-pF; pL; sC; 10* counted and mottled field at 135X ,
Czernik23, ,AURIGA,99.9,winter,5,5.835,28.9,Open Cluster - ,,
NGC2099,M 37 ,AURIGA,5.6,winter,24,5.871666667,32.55,Open Cluster - 150,!!Cl;Ri;pCM;st L & S, M
IC2149,PK 166+10.1 ,AURIGA,10.6,winter,12s,5.94,46.1,Planetary Nebula - ,S;vB ,
NGC2126,OCL 418,AURIGA,10.2,winter,6,6.041666667,49.86666667,Open Cluster - 40,Cl;not Ri;*7 north , H 
Sh2-241,LBN 824 ,AURIGA,99.9,winter,2,6.068333333,30.25,Bright Nebula - ,,
NGC2165, ,AURIGA,99.9,winter,6,6.185,51.68333333,Open Cluster - ,Cl;pL;poor;st 11,
NGC2192,OCL 437,AURIGA,10.9,winter,6,6.255,39.85,Open Cluster - 45,Cl;cL;C;iF;st vS,
NGC2208,UGC 3452,AURIGA,12.8,winter,1.6,6.376666667,51.91666667,Galaxy,pF;pS;lE ,
UGC3475,PGC 19161,AURIGA,14.2,winter,2.3,6.508333333,39.48333333,Galaxy,,
NGC2240, ,AURIGA,99.9,winter,,6.553333333,35.25,Open Cluster - ,Cl;pL;P;vlC;*7;10...15 ,
NGC2242,ZwG 204. 5 ,AURIGA,14.5,winter,22s,6.568333333,44.78333333,Planetary Nebula - ,eeF;vS;R;F* nf ,
NGC2281,OCL 446,AURIGA,5.4,winter,15,6.805,41.08333333,Open Cluster - 30,Cl;pRi;vlC;st pL, H 
NGC2303,UGC 3603,AURIGA,12.6,winter,1.5,6.938333333,45.5,Galaxy,eF;vS;R;sev st nr ,
NGC2387,ZwG 177. 23 ,AURIGA,15.5,winter,0.4,7.483333333,36.88333333,Galaxy,pB;S;stellar ,
NGC5239,UGC 8589,BOOTES,12.8,spring,1.8,13.60666667,7.366666667,Galaxy,vF;pL;R;er,
NGC5251,MCG 5-32- 44,BOOTES,13.8,spring,0.7,13.62333333,27.41666667,Galaxy,vF;S;vlE ,
UGC8614,PGC 48122,BOOTES,12.7,spring,3.4,13.62333333,7.65,Galaxy,,
NGC5248,UGC 8616,BOOTES,10.3,spring,5.9,13.625,8.883333333,Galaxy,B;L;E150;psbMRN, CH 
NGC5249,UGC 8618,BOOTES,12.9,spring,1.6,13.62666667,15.96666667,Galaxy,vF;S;R;bM ,
NGC5293,UGC 8710,BOOTES,13.1,spring,1.8,13.78166667,16.26666667,Galaxy,eF;vL;resolvable,
NGC5332,UGC 8773,BOOTES,12.9,spring,0.9,13.86833333,16.96666667,Galaxy,vF;S;R,
UGC8839,PGC 49497,BOOTES,13.1,spring,4,13.92333333,17.78333333,Galaxy,,
NGC5405,UGC 8928,BOOTES,13.4,spring,0.8,14.02,7.7,Galaxy,vF;iF;bM ,
NGC5409,UGC 8938,BOOTES,13.3,spring,1.7,14.03,9.483333333,Galaxy,eF;R;5416 f 26'',
NGC5411,UGC 8940,BOOTES,13.3,spring,1.4,14.03333333,8.933333333,Galaxy,vvF ,
NGC5414,UGC 8942,BOOTES,13.8,spring,1,14.035,9.933333333,Galaxy,S;F*centre;*10-11 nf,
NGC5416,UGC 8944,BOOTES,13.3,spring,1.4,14.03666667,9.433333333,Galaxy,eF;vS;E;r ,
NGC5417,UGC 8943,BOOTES,13,spring,1.5,14.03666667,8.033333333,Galaxy,cF;S;R;psbM;*p ,
NGC5418,UGC 8944,BOOTES,13.4,spring,1.1,14.03833333,7.683333333,Galaxy,vF;R;bM ,
NGC5423,UGC 8952,BOOTES,12.8,spring,1.5,14.04666667,9.333333333,Galaxy,vF;R;*in centre,
NGC5424,UGC 8956,BOOTES,13.1,spring,1.6,14.04833333,9.416666667,Galaxy,vF;R;*in centre,
NGC5431,MCG 2-36- 20,BOOTES,13.8,spring,0.8,14.05166667,9.366666667,Galaxy,vF ,
NGC5434A,NGC 5434,BOOTES,14.3,spring,1.8,14.05666667,9.45,Galaxy,vF;L ,
NGC5434B,UGC 8967,BOOTES,14.7,spring,1.6,14.05833333,9.466666667,Galaxy,,
NGC5436,UGC 8971,BOOTES,13.9,spring,1.1,14.06166667,9.566666667,Galaxy,3 vf;line;2'-3'dist ,
NGC5437,IC 4365 ,BOOTES,15.1,spring,0.9,14.06333333,9.516666667,Galaxy,3 vf;n one brightest,
NGC5438,NGC 5446,BOOTES,14.7,spring,1.7,14.06333333,9.616666667,Galaxy,3 vf;nf *8.6 ,
NGC5446,NGC 5438,BOOTES,14.4,spring,1.7,14.06333333,9.616666667,Galaxy,eF;eS,
NGC5454,UGC 8997,BOOTES,12.7,spring,1.8,14.08,14.38333333,Galaxy,pF;S ,
UGC8995,PGC 50194,BOOTES,13.4,spring,2.3,14.08166667,8.816666667,Galaxy,,
NGC5456,UGC 9004,BOOTES,12.9,spring,1.2,14.08333333,11.86666667,Galaxy,F;PS ,
NGC5459,UGC 9005,BOOTES,13.1,spring,1.1,14.08333333,13.13333333,Galaxy,F;S;lE;pB* sp ,
NGC5466,GCL 27 ,BOOTES,9.1,spring,9.2,14.09166667,28.53333333,Globular Clu. - ,Cl;L;vRi;vmC;st 11..., H 
NGC5463A,NGC 5463,BOOTES,14,spring,1.2,14.10333333,9.35,Galaxy,eF;S;lE ,
NGC5463B, ,BOOTES,14.1,spring,0.3,14.10333333,9.366666667,Galaxy,,
NGC5469, ,BOOTES,15.5,spring,,14.10666667,9.433333333,1 Star - ,vF;pS;R ,
NGC5482,UGC 9038,BOOTES,12.9,spring,1.2,14.14166667,8.933333333,Galaxy,eF;S ,
NGC5487,MCG 1-36- 21,BOOTES,14.6,spring,0.9,14.16166667,8.066666667,Galaxy,eF ,
NGC5490,NGC 5490A,BOOTES,12.1,spring,2.5,14.16666667,17.55,Galaxy,cF;cS;R;sbMF** ,
NGC5490A,NGC 5490,BOOTES,13,spring,2.5,14.16666667,17.55,Galaxy,,
NGC5490B,MCG 3-36- 67,BOOTES,15.6,spring,0.6,14.16833333,17.55,Galaxy,,
NGC5490C,MCG 3-36- 69,BOOTES,13.9,spring,1.1,14.16833333,17.61666667,Galaxy,,
NGC5500,UGC 9070,BOOTES,13.3,spring,1,14.17166667,48.55,Galaxy,cF;cS;iR ,
NGC5497,UGC 9069,BOOTES,14.1,spring,1.2,14.175,38.9,Galaxy,eF;S;R;lbM,
NGC5492,UGC 9065,BOOTES,12.8,spring,2.4,14.17666667,19.61666667,Galaxy,pB;vS;E ,
NGC5499,UGC 9074,BOOTES,13.5,spring,0.9,14.18,35.91666667,Galaxy,F;S;R;gbM ,
NGC5008,IC 4381 ,BOOTES,14.1,spring,2.4,14.18333333,25.5,Galaxy,pF;pL;R ,
NGC5498,UGC 9075,BOOTES,13.6,spring,1,14.185,25.7,Galaxy,F;S;R;lbM ,
NGC5504B,IC 4383 ,BOOTES,15.5,spring,0.7,14.20333333,15.86666667,Galaxy,,
NGC5504A,NGC 5504,BOOTES,13.9,spring,1.3,14.205,15.83333333,Galaxy,vF;vlE;vlbM,
NGC5504C,UGC 9086,BOOTES,15.5,spring,1,14.205,15.88333333,Galaxy,,
NGC5520,UGC 9097,BOOTES,12.4,spring,2,14.20666667,50.35,Galaxy,F;S;lE;stellar ,
NGC5505,UGC 9092,BOOTES,13.2,spring,1,14.20833333,13.3,Galaxy,vF;pS;bet D* ,
NGC5508,UGC 9094,BOOTES,13.1,spring,2,14.20833333,24.63333333,Galaxy,eF;eS;R;lbM,
NGC5515,UGC 9096,BOOTES,12.9,spring,1.3,14.21,39.31666667,Galaxy,vF;S;vlE ,
NGC5509,MCG 4-34- 3,BOOTES,15.1,spring,1.1,14.21166667,20.38333333,Galaxy,vF;S;R;stellar nucl ,
NGC5512,ZwG 163. 6 ,BOOTES,14.2,spring,0.5,14.21166667,30.85,Galaxy,vF;vS;R;sbMN;r ,
NGC5517,UGC 9100,BOOTES,13.8,spring,1,14.215,35.71666667,Galaxy,F;eS;R;bMN,
NGC5511A,MCG 2-36- 51,BOOTES,15,spring,0.7,14.21833333,8.616666667,Galaxy,vF;S;*10p ,
NGC5511B,NGC 5511,BOOTES,15.5,spring,0.4,14.21833333,8.633333333,Galaxy,,
NGC5513,UGC 9099,BOOTES,12.6,spring,1.9,14.21833333,20.41666667,Galaxy,pB;pL;iR ,
NGC5514,UGC 9102,BOOTES,12.7,spring,1.4,14.22666667,7.666666667,Galaxy,F;pS;R;lbM;*16 nf ,
NGC5518,MCG 4-34- 6,BOOTES,15,spring,1,14.23,20.85,Galaxy,F;vS;R;gbM,
NGC5524, ,BOOTES,15.3,spring,,14.23,36.38333333,2 Star - ,vF ,
NGC5519,NGC 5570,BOOTES,13.1,spring,1.6,14.23833333,7.516666667,Galaxy,vF;pL;*10p,
NGC5570,NGC 5519,BOOTES,14.3,spring,1.6,14.23833333,7.516666667,Galaxy,F;S;iR,
NGC5527,MCG 6-31- 81,BOOTES,16,spring,0.8,14.24166667,36.4,Galaxy,eeF ,
NGC5522,UGC 9116,BOOTES,13.5,spring,1.8,14.24666667,15.15,Galaxy,vF;vS;E ,
NGC5523,UGC 9119,BOOTES,12.1,spring,4.7,14.24833333,25.31666667,Galaxy,F;pL;pmE90;*10 np ,
NGC5529,UGC 9127,BOOTES,11.9,spring,6,14.26,36.23333333,Galaxy,cF;pL;vmE110;vgvmBM ,
NGC5525,UGC 9124,BOOTES,12.8,spring,1.5,14.26166667,14.28333333,Galaxy,pF;pS;iR;bM,
NGC5533,UGC 9133,BOOTES,11.8,spring,3.1,14.26833333,35.35,Galaxy,pB;R;vsmbM;2or3*inv ,
NGC5528,MCG 2-36- 60,BOOTES,14.8,spring,0.9,14.27166667,8.3,Galaxy,eeF;pS;R;2 vfnr ,
NGC5536,UGC 9136,BOOTES,13.5,spring,0.9,14.27333333,39.5,Galaxy,cF;vS;R;sp of 2,
NGC5541,UGC 9139,BOOTES,12.8,spring,0.8,14.275,39.58333333,Galaxy,cF;S;R;gbM;nf of 2 ,
NGC5531,MCG 2-36- 61,BOOTES,14.7,spring,0.9,14.27833333,10.88333333,Galaxy,F;S;R;5532 f 10'' ,
NGC5532A,NGC 5532,BOOTES,13.3,spring,1.6,14.28166667,10.8,Galaxy,vF;vS;R;gbM;r ,
NGC5532B, ,BOOTES,16,spring,0.3,14.28166667,10.8,Galaxy,,
NGC5544,UGC 9142,BOOTES,13.2,spring,0.9,14.28333333,36.56666667,Galaxy,F;pS;E80;Dneb w 5545,
NGC5545,UGC 9143,BOOTES,14,spring,1,14.285,36.56666667,Galaxy,E;lbM;Dneb w 5544 ,
NGC5535, ,BOOTES,15.4,spring,0.3,14.29166667,8.2,Galaxy,eF;S;iR ,
NGC5539,MCG 1-36- 33,BOOTES,15.5,spring,0.4,14.29333333,8.183333333,Galaxy,F;pL;iF;gbM,
NGC5538,ZwG 46. 83 ,BOOTES,15.4,spring,0.8,14.295,7.483333333,Galaxy,eF;S;E,
NGC5542,MCG 1-36- 34,BOOTES,15,spring,0.5,14.29833333,7.55,Galaxy,vF;vS,
NGC5548,UGC 9149,BOOTES,12.6,spring,1.5,14.3,25.13333333,Galaxy,cF;pS;R;vsvmbM*,
NGC5543,ZwG 46. 88 ,BOOTES,15.3,spring,0.5,14.30166667,7.65,Galaxy,eF;vS,
NGC5546,UGC 9148,BOOTES,12.3,spring,1.3,14.30333333,7.566666667,Galaxy,pB;cS;gbM ,
NGC5557,UGC 9161,BOOTES,11,spring,2.4,14.30666667,36.5,Galaxy,cB;S;R;vsbM* , H 
NGC5550,UGC 9154,BOOTES,13.1,spring,1.2,14.30833333,12.88333333,Galaxy,vF;cS;pmE ,
NGC5553,UGC 9160,BOOTES,14.1,spring,1.3,14.30833333,26.28333333,Galaxy,vF;S;lE ,
NGC5559,UGC 9166,BOOTES,14,spring,1.4,14.32,24.8,Galaxy,vF;S;vlE;bM,
NGC5567,MCG 6-31- 96,BOOTES,15,spring,0.9,14.32166667,35.13333333,Galaxy,pF;R ,
NGC5568,MCG 6-31- 98,BOOTES,15.7,spring,0.5,14.32333333,35.1,Galaxy,vF;S;vdif ,
NGC5571, ,BOOTES,99.9,spring,,14.32666667,35.15,4 Star - ,s Cl ofin neb,
NGC5572,UGC 9173,BOOTES,14.2,spring,0.9,14.32666667,36.13333333,Galaxy,eF;vS;bM ,
UGC9169,PGC 51207,BOOTES,13,spring,3.9,14.33,9.366666667,Galaxy,,
NGC5562,UGC 9174,BOOTES,13.5,spring,0.7,14.33666667,10.26666667,Galaxy,vF;S;vF*f ,
NGC5579,UGC 9180,BOOTES,13.6,spring,1.9,14.34,35.18333333,Galaxy,vF;cL;p of 2 ,
NGC5582,UGC 9188,BOOTES,11.6,spring,2.8,14.345,39.7,Galaxy,pB;pS;R;bMFN;* sp ,
NGC5581,MCG 4-34- 21,BOOTES,15.1,spring,0.8,14.355,23.48333333,Galaxy,vF*in vf;vS;R neby ,
NGC5588,NGC 5589,BOOTES,14.2,spring,1.1,14.35666667,35.26666667,Galaxy,vF;R;gbM ,
NGC5589,NGC 5588,BOOTES,13.3,spring,1.1,14.35666667,35.26666667,Galaxy,vF;S;R;np of 2 ,
NGC5580,NGC 5590,BOOTES,14.5,spring,1.8,14.36,35.2,Galaxy,pB;S;f of 2,
NGC5590,NGC 5580,BOOTES,12.3,spring,1.8,14.36,35.2,Galaxy,cF;S;R;bM*;sf of 2 ,
NGC5583,UGC 9196,BOOTES,13.4,spring,0.8,14.36166667,13.23333333,Galaxy,vF;pS;R;pB* nr ,
NGC5586, ,BOOTES,99.9,spring,,14.36833333,13.18333333,Non-existant - ,eF;vS;R ,
NGC5587,UGC 9202,BOOTES,12.5,spring,2.6,14.37,13.91666667,Galaxy,F;cS;vlE;*8 sf ,
NGC5602,UGC 9210,BOOTES,12.7,spring,1.5,14.37166667,50.5,Galaxy,pF;pS;lE;mbM ,
NGC5596,UGC 9208,BOOTES,13.4,spring,1.1,14.375,37.11666667,Galaxy,eF;S;R;stellar ,
NGC5598,UGC 9209,BOOTES,13,spring,1.6,14.375,40.31666667,Galaxy,F;vS;R;bM ,
NGC5591,UGC 9207,BOOTES,14.5,spring,1.3,14.37666667,13.71666667,Galaxy,eF;S;R;pB* nr sf,
NGC5601,MCG 7-30- 6,BOOTES,15.6,spring,0.8,14.38166667,40.31666667,Galaxy,vF;bet 5598 and 5603,
NGC5603B,UGC 9216,BOOTES,15,spring,2,14.38166667,40.41666667,Galaxy,,
NGC5603A,NGC 5603,BOOTES,14,spring,1.1,14.38333333,40.38333333,Galaxy,cF;pS;R;gbM,
NGC5594,IC 4412 ,BOOTES,15,spring,1.1,14.38666667,26.26666667,Galaxy,eF;vS;stellar ,
NGC5608,UGC 9219,BOOTES,13.4,spring,2.6,14.38833333,41.78333333,Galaxy,F;pL;lE;vglbM ,
NGC5600,UGC 9220,BOOTES,12.1,spring,1.5,14.39666667,14.63333333,Galaxy,pB;pS;gbM ,
NGC5609, ,BOOTES,16.5,spring,0.3,14.39666667,34.85,Galaxy,eeF ,
NGC5611,UGC 9227,BOOTES,12.6,spring,1.3,14.40166667,33.05,Galaxy,F;S;R;bM ,
NGC5613,UGC 9228,BOOTES,16,spring,0.9,14.40166667,34.9,Galaxy,eF;pS;DIF;2'n of NGC 5614,
NGC5614,UGC 9226,BOOTES,11.7,spring,2.4,14.40166667,34.86666667,Galaxy,pB;S;R;smbM,
NGC5615,MCG 6-32- 23,BOOTES,15,spring,0.2,14.40166667,34.86666667,Galaxy,close n of 5614;vf*?,
NGC5616,UGC 9231,BOOTES,13.8,spring,2.1,14.405,36.46666667,Galaxy,vF;S;cE;vgbM;er,
NGC5610,UGC 9230,BOOTES,13.2,spring,2,14.40666667,24.61666667,Galaxy,vF;S;pmE0;*9f ,
UGC9240,PGC 51472,BOOTES,12.9,spring,1.8,14.41166667,44.5,Galaxy,,
UGC9242,MCG +07-30-011,BOOTES,13.5,spring,5,14.42166667,39.53333333,Galaxy,,
NGC5622,UGC 9248,BOOTES,13.2,spring,1.7,14.43666667,48.56666667,Galaxy,vF;pS;vlE;vglbM,
NGC5624,UGC 9256,BOOTES,13.1,spring,1.1,14.44333333,51.58333333,Galaxy,eF;S;lE ,
NGC5625,MCG 7-30- 13,BOOTES,14.8,spring,1.2,14.45,39.95,Galaxy,vF;S;R;gbM,
UGC9249,PGC 51587,BOOTES,14.1,spring,2.3,14.45,8.683333333,Galaxy,,
NGC5623,UGC 9260,BOOTES,12.5,spring,1.6,14.45166667,33.25,Galaxy,cF;S;R;vsmbM;r ,
NGC5633,UGC 9271,BOOTES,12.4,spring,2.1,14.45833333,46.15,Galaxy,cB;pS;R;pglbM ,
NGC5630,UGC 9270,BOOTES,13.1,spring,2.2,14.46,41.25,Galaxy,F;S;E90;gbM,
NGC5621, ,BOOTES,99.9,spring,,14.46333333,8.25,3 Star - ,eeF;L;resolvable,
IC1014,UGC 9275,BOOTES,12.5,spring,2.7,14.47166667,13.78333333,Galaxy,F;pL;R;gbM,
NGC5629,UGC 9281,BOOTES,12.1,spring,1.8,14.47166667,25.85,Galaxy,pF;S;R;gbM,
NGC5628,UGC 9278,BOOTES,13.3,spring,1.1,14.47333333,17.91666667,Galaxy,pF;S;R;gbMN=14m,
NGC5635,UGC 9283,BOOTES,12.5,spring,2.3,14.475,27.41666667,Galaxy,F;S;E;sbM ,
NGC5627,UGC 9280,BOOTES,12.9,spring,1.7,14.47666667,11.38333333,Galaxy,vF;vS;R;*9 sp ,
UGC9291,PGC 51713,BOOTES,13,spring,2.8,14.47666667,39,Galaxy,,
NGC5639A,NGC 5639,BOOTES,14.6,spring,1.4,14.48,30.41666667,Galaxy,vF;R;*7p;*11s ,
NGC5637,UGC 9293,BOOTES,13.8,spring,0.9,14.48333333,23.18333333,Galaxy,vF;S;R;vgbM,
NGC5639B, ,BOOTES,17,spring,0.3,14.48333333,30.4,Galaxy,,
NGC5642,UGC 9301,BOOTES,12.6,spring,1.8,14.48666667,30.03333333,Galaxy,cF;S;* inv;*12 nf ,
NGC5641,UGC 9300,BOOTES,12.2,spring,2.4,14.48833333,28.81666667,Galaxy,pB;pS;lE;mbM;r?,
NGC5646,UGC 9312,BOOTES,14.2,spring,1.5,14.49333333,35.46666667,Galaxy,eF;E sp nf,
NGC5660,UGC 9325,BOOTES,11.9,spring,2.7,14.49666667,49.61666667,Galaxy,pB;L;iR;vgbM ,
NGC5654,UGC 9319,BOOTES,12.9,spring,1.5,14.5,36.36666667,Galaxy,F;S;E;** inv ,
NGC5653,UGC 9318,BOOTES,12.2,spring,1.7,14.50333333,31.21666667,Galaxy,pF;pS;R;bM,
NGC5644,UGC 9321,BOOTES,12.5,spring,1.5,14.50666667,11.93333333,Galaxy,pB;pS;R;gmbM ,
NGC5656,UGC 9332,BOOTES,11.8,spring,1.9,14.50666667,35.31666667,Galaxy,pF;pL;R;mbM;r ,
NGC5648,NGC 5649,BOOTES,13.1,spring,1.1,14.50833333,14.01666667,Galaxy,vF;S;no nucl;5649 nr,
NGC5649,NGC 5648,BOOTES,13.2,spring,1.1,14.50833333,14.01666667,Galaxy,eF;vS;np of 2 ,
NGC5647,UGC 9329,BOOTES,15.3,spring,1.1,14.51,11.88333333,Galaxy,F;S;R;vlbM,
NGC5657,UGC 9335,BOOTES,13.3,spring,1.8,14.51166667,29.18333333,Galaxy,F;S;irR;sev vfinv,
NGC5655,UGC 9333,BOOTES,14,spring,1.1,14.515,13.96666667,Galaxy,eeF;sf of 2,
NGC5659,UGC 9342,BOOTES,13.9,spring,1.6,14.51833333,25.35,Galaxy,eF ,
NGC5673,UGC 9347,BOOTES,12.1,spring,2.4,14.525,49.95,Galaxy,F;S;cE;*15 np ,
NGC5665,UGC 9352,BOOTES,12,spring,2.1,14.54,8.083333333,Galaxy,pB;pL;R;gbM;r ,
NGC5672,UGC 9354,BOOTES,13.5,spring,0.8,14.54333333,31.66666667,Galaxy,vF;vL;iR;lbM;**p,
NGC5669,UGC 9353,BOOTES,11.3,spring,4.2,14.545,9.9,Galaxy,F;L;R;lbM;r,
NGC5675,UGC 9357,BOOTES,12.7,spring,2.8,14.545,36.3,Galaxy,F;pS;E;bM ,
NGC5676,UGC 9366,BOOTES,11.2,spring,3.9,14.54666667,49.45,Galaxy,B;L;E45;pgbM;r , H 
NGC5666,UGC 9360,BOOTES,12.8,spring,0.9,14.55333333,10.51666667,Galaxy,vF;vS;R;stellar,
NGC5677,UGC 9378,BOOTES,13.7,spring,0.9,14.57,25.46666667,Galaxy,vF;vS;R;r;3*9;10 np ,
NGC5682,UGC 9388,BOOTES,14.1,spring,1.6,14.58,48.66666667,Galaxy,F;pS;E,
NGC5683,MCG 8-27- 3,BOOTES,14.8,spring,0.4,14.58166667,48.66666667,Galaxy,F;vS;lE ,
NGC5687,UGC 9395,BOOTES,11.8,spring,2.5,14.58166667,54.48333333,Galaxy,pF;S;iF;resolved;*10 f ,
NGC5689,UGC 9399,BOOTES,11.9,spring,3.3,14.59166667,48.73333333,Galaxy,cB;pL;E87;psmbM, H 
NGC5681,UGC 9393,BOOTES,14.3,spring,0.9,14.595,8.3,Galaxy,F;S ,
NGC5684,UGC 9402,BOOTES,12.7,spring,1.5,14.59666667,36.55,Galaxy,F;cS;R;bM;p of 2,
NGC5686,MCG 6-32- 75,BOOTES,15.2,spring,0.4,14.6,36.5,Galaxy,vF;S;R;f of 2 ,
NGC5693,UGC 9406,BOOTES,13.5,spring,1.8,14.60333333,48.58333333,Galaxy,F;pL;*13 att s ,
NGC5685,UGC 9403,BOOTES,13.3,spring,1.2,14.605,29.9,Galaxy,vF;vS;R;gbMN=15m,
NGC5697,IC 4471 ,BOOTES,13.7,spring,0.9,14.60833333,41.68333333,Galaxy,F;vS;R;bM;4B*p ,
NGC5696,UGC 9415,BOOTES,13,spring,2,14.61666667,41.83333333,Galaxy,cF;cS;R;lbM;r ,
NGC5700,UGC 9423,BOOTES,15.2,spring,1,14.61666667,48.55,Galaxy,eF;S;resolvable;* sp 4' ,
NGC5698,UGC 9419,BOOTES,13,spring,1.8,14.62,38.45,Galaxy,cF;cS;lE;in tri of st,
NGC5695,UGC 9421,BOOTES,12.8,spring,1.5,14.62333333,36.56666667,Galaxy,pB;cS;R;bM;r ,
NGC5707,UGC 9428,BOOTES,12.5,spring,2.5,14.625,51.56666667,Galaxy,B;pS;R,
NGC5714,UGC 9431,BOOTES,13.4,spring,3.2,14.63666667,46.63333333,Galaxy,vF;pS;E pf;D*n;1 of 6,
NGC5704,NGC 5708,BOOTES,13.9,spring,1.6,14.63833333,40.45,Galaxy,F;cS;lE0 ,
NGC5708,NGC 5704,BOOTES,13.4,spring,1.6,14.63833333,40.45,Galaxy,F;pL;E0;gbM,
NGC5717,MCG 8-27- 12,BOOTES,15.4,spring,0.8,14.64333333,46.66666667,Galaxy,vF;S;R;D* nr;2 of 6 ,
NGC5720,UGC 9439,BOOTES,13.4,spring,2.1,14.64333333,50.81666667,Galaxy,eeF;pS;R;bet 2*,
NGC5699,NGC 5706,BOOTES,15.8,spring,0.3,14.645,30.46666667,Galaxy,eF;vS,
NGC5706,NGC 5699,BOOTES,15.7,spring,0.3,14.645,30.46666667,Galaxy,vF;vS;R;vlbM ,
NGC5703,NGC 5709,BOOTES,14.5,spring,1.6,14.64666667,30.45,Galaxy,vF;vS;iR ,
NGC5709,NGC 5703,BOOTES,13.6,spring,1.6,14.64666667,30.45,Galaxy,vF;S;iF;E pf ,
NGC5702,UGC 9434,BOOTES,13.3,spring,1.1,14.64833333,20.5,Galaxy,vF;vS,
NGC5721,MCG 8-27- 13,BOOTES,15.3,spring,0.2,14.64833333,46.66666667,Galaxy,vF;S;R,
NGC5722,MCG 8-27- 14,BOOTES,15,spring,0.3,14.64833333,46.66666667,Galaxy,vF;S;R;psbM,
NGC5723,MCG 8-27- 15,BOOTES,15.5,spring,0.7,14.65,46.68333333,Galaxy,vF;S;R,
NGC5724,MCG 8-27- 16,BOOTES,17,spring,0.2,14.65,46.7,Galaxy,vF;S;R,
NGC5710,UGC 9440,BOOTES,13,spring,1.2,14.655,20.05,Galaxy,vF;S;vgbM;**f;p of 2,
NGC5711,UGC 9445,BOOTES,13.9,spring,1,14.65666667,19.98333333,Galaxy,eF;vS;** att;f of 2 ,
NGC5730,UGC 9456,BOOTES,14.1,spring,1.8,14.665,42.75,Galaxy,vF;cS;E90 ,
NGC5731,UGC 9460,BOOTES,13.1,spring,1.6,14.67,42.78333333,Galaxy,vF;eS;lE ,
NGC5727,UGC 9465,BOOTES,13.7,spring,2.3,14.67333333,33.98333333,Galaxy,eF;pL;R;dif,
NGC5732,UGC 9467,BOOTES,13.5,spring,1.4,14.67666667,38.63333333,Galaxy,vF;S;R;lbM,
NGC5739,UGC 9486,BOOTES,12.1,spring,1.9,14.70833333,41.85,Galaxy,pB;S;R;smbM;r;* nr ,
NGC5735,UGC 9481,BOOTES,12.3,spring,2.4,14.71,28.73333333,Galaxy,vF;L;iR;lbM,
NGC5737,UGC 9488,BOOTES,13.5,spring,1.3,14.72,18.88333333,Galaxy,vF;cS;R;vglbM ,
NGC5736,MCG 2-38- 1,BOOTES,14.9,spring,1.1,14.725,11.2,Galaxy,eeF;S;lE;v diffic ,
NGC5751,UGC 9498,BOOTES,13.2,spring,1.5,14.73,53.4,Galaxy,F;S;vlE;tri2*10;11 ,
NGC5747,IC 4493 ,BOOTES,14.5,spring,1,14.73833333,12.13333333,Galaxy,eF;S ,
NGC5748,ZwG 134. 29 ,BOOTES,15.4,spring,0.8,14.75166667,21.91666667,Galaxy,eF;vS,
NGC5752,MCG 7-30- 60,BOOTES,14.1,spring,0.5,14.75333333,38.73333333,Galaxy,F;1'p 5754,
NGC5753,MCG 7-30- 62,BOOTES,15.1,spring,0.4,14.755,38.8,Galaxy,F;bM;np 5754 ,
NGC5754,UGC 9505,BOOTES,14.1,spring,2,14.755,38.73333333,Galaxy,cF;cS;R;bM;2nd of 4 ,
NGC5755,UGC 9507,BOOTES,15.1,spring,1.3,14.75666667,38.78333333,Galaxy,F;2' nf 5754 ,
NGC5758,UGC 9524,BOOTES,13.5,spring,1.1,14.78333333,13.66666667,Galaxy,eF;pS;R;*9f 22'',
NGC5759,UGC 9525,BOOTES,14.9,spring,0.3,14.78666667,13.45,Galaxy,eF;S;R,
NGC5760,UGC 9531,BOOTES,13.3,spring,1.5,14.795,18.5,Galaxy,vF;vS;cE90;vglbM,
NGC5762,UGC 9535,BOOTES,12.7,spring,1.5,14.81166667,12.45,Galaxy,vF;S;R;p of 2 ,
NGC5763,ZwG 76. 64 ,BOOTES,15.3,spring,0.6,14.81666667,12.48333333,Galaxy,eeF;pS;v diffic;f of 2 ,
NGC5767,UGC 9549,BOOTES,14.1,spring,0.9,14.82666667,47.38333333,Galaxy,eF;pS;R;* nr ,
UGC9560,PGC 53014,BOOTES,14.6,spring,0.8,14.84833333,35.58333333,Galaxy,,
UGC9562,PGC 53039,BOOTES,14.4,spring,1.2,14.85333333,35.55,Galaxy,,
NGC5772,UGC 9566,BOOTES,12.8,spring,2.1,14.86,40.6,Galaxy,pB;pL;lE;pslbM;*8 np,
NGC5771,MCG 5-35- 21,BOOTES,13.6,spring,0.8,14.87,29.85,Galaxy,vF;S;R;pgbM,
NGC5773,UGC 9571,BOOTES,13.5,spring,0.8,14.875,29.8,Galaxy,vF;S;R;pgbM,
NGC5769,MCG 1-38- 8,BOOTES,14.9,spring,0.3,14.87833333,7.933333333,Galaxy,vF ,
NGC5788,MCG 9-24- 49,BOOTES,15.5,spring,0.6,14.88833333,52.05,Galaxy,eeF;S;R;v diffic;sf of 2 ,
NGC5783,NGC 5785,BOOTES,12.8,spring,2.9,14.89166667,52.08333333,Galaxy,pB;pS;iR;F* inv,
