label1,label2,constellation,magnitude,season,size,RA,DEC,type,notes,
NGC72A,MCG 5- 1- 70,ANDROMEDA,14.7,autumn,0.3,0.31,30.03333333,Galaxy,,
NGC74,MCG 5- 1- 71,ANDROMEDA,16,autumn,0.8,0.313333333,30.06666667,Galaxy,eF;S;E;last of 6,
NGC76,UGC 185,ANDROMEDA,13,autumn,1,0.326666667,29.93333333,Galaxy,vF;S;bM ,
NGC79,MCG 4- 2- 3,ANDROMEDA,15,autumn,0.5,0.35,22.56666667,Galaxy,vF;S;vlbM ,
NGC80,UGC 203,ANDROMEDA,12.1,autumn,2.2,0.353333333,22.35,Galaxy,F;S;R;psbM,
NGC81,NPM1G +22 016,ANDROMEDA,16.4,autumn,0.2,0.353333333,22.38333333,Galaxy,eeF;sp NGC 83 ,
NGC82, ,ANDROMEDA,14,autumn,,0.355,22.46666667,1 Star - ,eF;stellar,
NGC83,UGC 206,ANDROMEDA,12.5,autumn,1.3,0.356666667,22.43333333,Galaxy,E;biN;3 B st nr,
NGC84, ,ANDROMEDA,17,autumn,,0.356666667,22.61666667,1 Star - ,eF;st & neb,
NGC85A,NGC 85,ANDROMEDA,15.5,autumn,0.5,0.356666667,22.51666667,Galaxy,eeF;cL;R ,
NGC85B,IC 1546 ,ANDROMEDA,15.5,autumn,0.9,0.358333333,22.5,Galaxy,,
NGC86,MCG 4- 2- 9,ANDROMEDA,15,autumn,0.7,0.358333333,22.55,Galaxy,eF;vS;lbM ,
NGC90,UGC 208,ANDROMEDA,14.5,autumn,1.9,0.365,22.4,Galaxy,vF;lE,
NGC91, ,ANDROMEDA,13.7,autumn,,0.365,22.36666667,1 Star - ,vF;vS;* 13 sp ,
NGC93,UGC 209,ANDROMEDA,13.3,autumn,1.4,0.368333333,22.41666667,Galaxy,vF;vS,
NGC94,ZwG 479. 17 ,ANDROMEDA,15.5,autumn,0.4,0.37,22.48333333,Galaxy,eF;vS,
NGC96,MCG 4- 2- 14,ANDROMEDA,17,autumn,0.7,0.371666667,22.55,Galaxy,vF;S;vlbM ,
NGC97,UGC 216,ANDROMEDA,12.3,autumn,1.5,0.375,29.75,Galaxy,F;vS;R;gbM,
NGC108,UGC 246,ANDROMEDA,12.1,autumn,2,0.433333333,29.21666667,Galaxy,pF;pL;R;pslbM ,
NGC109,UGC 251,ANDROMEDA,13.7,autumn,1.1,0.436666667,21.8,Galaxy,vF;S;3 st nr ,
NGC112,UGC 255,ANDROMEDA,13.5,autumn,1,0.446666667,31.7,Galaxy,eF;vS;R ,
NGC140,UGC 311,ANDROMEDA,13.2,autumn,1.5,0.521666667,30.78333333,Galaxy,vF;S;R;gbM,
NGC149,UGC 332,ANDROMEDA,13.7,autumn,1.2,0.563333333,30.71666667,Galaxy,vF;vS;R;gbM*14;*12 sp,
ANDIII,PGC 2121,ANDROMEDA,15,autumn,2,0.59,36.51666667,Galaxy,,
NGC160,UGC 356,ANDROMEDA,12.6,autumn,2.9,0.601666667,23.95,Galaxy,vF;vS;stell;*8;17 degrees;4' ,
NGC162, ,ANDROMEDA,99.9,autumn,,0.603333333,23.96666667,1 Star - ,eF;stellar;NGC 160 sp,
NGC169,UGC 365;Arp 282 ,ANDROMEDA,13.2,autumn,1.8,0.615,23.98333333,Galaxy,F;pL;D or biN;*6 nf 4' ,
NGC181,MCG 5- 2- 32,ANDROMEDA,15.5,autumn,0.7,0.64,29.46666667,Galaxy,eF;eS;irr;vFatt ,
NGC183,UGC 387,ANDROMEDA,12.7,autumn,2.1,0.641666667,29.51666667,Galaxy,pF;vS;R;gbM,
NGC184,ZwG 500. 59 ,ANDROMEDA,14.6,autumn,0.7,0.643333333,29.45,Galaxy,eF;eS,
NGC205,M 110 ,ANDROMEDA,8.1,autumn,19.5,0.673333333,41.68333333,Galaxy,vB;vL;mE 165 degrees;vgvmbM , HM
NGC206, ,ANDROMEDA,12.8,autumn,1.8,0.675,40.73333333,Gal. Cl. Nebula - ,vF;vL;mE 0 degrees ,
NGC214,UGC 438,ANDROMEDA,12.3,autumn,1.9,0.691666667,25.5,Galaxy,pF;pS;gvlbM;R ,
NGC218,UGC 440,ANDROMEDA,14,autumn,1.1,0.695,36.36666667,Galaxy,eF;vS;R;gbM,
NGC221,M 32 ,ANDROMEDA,8.1,autumn,8.5,0.711666667,40.86666667,Galaxy,vvB;L;R;psmbMN , M
NGC224,M 31 ,ANDROMEDA,3.4,autumn,189,0.711666667,41.26666667,Galaxy,!!!eeB;eL;vmE , M
NGC226,UGC 459,ANDROMEDA,13.3,autumn,0.9,0.715,32.58333333,Galaxy,eF;S;R;* 13 s 20'' ,
NGC228,UGC 458,ANDROMEDA,13.7,autumn,1.2,0.715,23.5,Galaxy,eF;S;R;fainter of 2 ,
NGC229,MCG 4- 2- 49,ANDROMEDA,14.5,autumn,1,0.718333333,23.51666667,Galaxy,vF;S;R;smaller of 2 ,
NGC233,UGC 464,ANDROMEDA,12.4,autumn,1.7,0.726666667,30.58333333,Galaxy,F;vS;R;lbM,
ANDI,PGC 2666,ANDROMEDA,13.2,autumn,4,0.761666667,38.05,Galaxy,,
NGC243,MCG 5- 2- 43,ANDROMEDA,13.6,autumn,0.9,0.766666667,29.96666667,Galaxy,F;vS;R;gbM;* 10 p ,
NGC252,UGC 491,ANDROMEDA,12.4,autumn,1.4,0.8,27.61666667,Galaxy,pB;S;R;pmbM;r;** p ,
NGC258,MCG 4- 3- 5,ANDROMEDA,15,autumn,0.5,0.803333333,27.65,Galaxy,eF;S;vfclose,
NGC260,UGC 497,ANDROMEDA,13.5,autumn,0.8,0.81,27.68333333,Galaxy,eF;pS;lE ,
NGC262,UGC 499;Mrk 348 ,ANDROMEDA,13.1,autumn,1.4,0.813333333,31.95,Galaxy,eF;vS;R;v diffic,
NGC272,OCL 312,ANDROMEDA,8.5,autumn,,0.856666667,35.81666667,Open Cluster - 8,Cl;L;lC ,
NGC280,UGC 534,ANDROMEDA,13.2,autumn,1.7,0.875,24.35,Galaxy,eF;S;R;*15 f 30'' ,
NGC304,UGC 573,ANDROMEDA,13,autumn,1.1,0.935,24.13333333,Galaxy,pF;S;R;svlbM ,
NGC317A,NGC 317-1,ANDROMEDA,14.5,autumn,1.4,0.961666667,43.8,Galaxy,eeF;pS;lE;Dclose f,
NGC317B,NGC 317-2,ANDROMEDA,13.9,autumn,1.1,0.961666667,43.78333333,Galaxy,,
IC65,UGC 625,ANDROMEDA,12.8,autumn,3.9,1.015,47.68333333,Galaxy,eF;pL;mE;B star sf ,
NGC389,UGC 703,ANDROMEDA,13.8,autumn,1.3,1.141666667,39.7,Galaxy,eF;eS;R;* nr ,
NGC393,UGC 707,ANDROMEDA,12.5,autumn,1.7,1.143333333,39.65,Galaxy,F;vS;vlE;gbM;4 S st nr ,
NGC404,UGC 718,ANDROMEDA,10.3,autumn,4.3,1.156666667,35.71666667,Galaxy,pB;cL;R;gbM, H 
NGC425,UGC 758,ANDROMEDA,12.6,autumn,1,1.216666667,38.76666667,Galaxy,vF;vS;R;lbM;* 11 att,
NGC431,UGC 776,ANDROMEDA,12.9,autumn,1.4,1.235,33.7,Galaxy,F;S;vsbM ,
NGC464, ,ANDROMEDA,99.9,autumn,,1.323333333,34.95,2 Star - ,S,
NGC477,UGC 886,ANDROMEDA,13,autumn,2.2,1.355,40.48333333,Galaxy,vF;pS;vlE;vglbM,
NGC512,UGC 944,ANDROMEDA,13.2,autumn,1.6,1.4,33.9,Galaxy,vF;vS,
NGC513,UGC 953,ANDROMEDA,12.9,autumn,0.7,1.406666667,33.8,Galaxy,F;S;stellar,
NGC523,NGC 537,ANDROMEDA,12.7,autumn,2.5,1.421666667,34.01666667,Galaxy,Dneb;vF;vS; pos 90 deg; dist 30'' ,
NGC537,NGC 523,ANDROMEDA,13.5,autumn,2.5,1.421666667,34.01666667,Galaxy,stellar;(=523) ,
NGC528,UGC 988,ANDROMEDA,12.5,autumn,1.7,1.426666667,33.66666667,Galaxy,F;pL;R;lbM,
NGC529,UGC 955,ANDROMEDA,12.1,autumn,2.4,1.428333333,34.71666667,Galaxy,pB;vS;sbM;p of 2,
NGC531,UGC 1012,ANDROMEDA,13.8,autumn,1.8,1.438333333,34.75,Galaxy,F;S;R,
NGC536,UGC 1013,ANDROMEDA,12.4,autumn,3,1.44,34.7,Galaxy,pB;pL;gbM;f of 2,
NGC542,MCG 6- 4- 22,ANDROMEDA,14.7,autumn,1,1.441666667,34.68333333,Galaxy,eF;diffic ,
NGC551,UGC 1034,ANDROMEDA,12.7,autumn,1.8,1.461666667,37.18333333,Galaxy,vF;S;E;vglbM;*13 nr ,
NGC561,UGC 1048,ANDROMEDA,12.9,autumn,1.6,1.471666667,34.3,Galaxy,eF;pL;R ,
NGC562,UGC 1049,ANDROMEDA,13.3,autumn,1.3,1.475,48.38333333,Galaxy,eF;pS;R;D* nr S,
NGC573,UGC 1078,ANDROMEDA,13.1,autumn,0.4,1.513333333,41.25,Galaxy,vF;vS;R;gbM,
NGC591,UGC 1111,ANDROMEDA,12.9,autumn,1.3,1.558333333,35.66666667,Galaxy,eF;pS;R;lbM;B* sf ,
NGC590,UGC 1109,ANDROMEDA,12.9,autumn,2.6,1.561666667,44.93333333,Galaxy,F;vS;(rr) ,
NGC605,UGC 1128,ANDROMEDA,12.9,autumn,2.2,1.583333333,41.25,Galaxy,vF;vS;R;bM,
