"M61"~"NGC 4303"~"GALXY"~"Virgo"~"12h 21.9m"~"4°28"~"9.7"~""~""~""~"8.1"~"Spring"~""
"M62"~"NGC 6266"~"GLOCL"~"Ophiuchus"~"17h 1.2m"~"-30°7"~"6.5"~""~""~""~"14.1"~"Summer"~""
"M63"~"NGC 5055 Sunflower Galaxy"~"GALXY"~"Canes_Venatici"~"13h 15.8m"~"42°2"~"8.6"~""~""~""~"11.7"~"Spring"~""
"M64"~"NGC 4826 Blackeye Galaxy"~"GALXY"~"Coma_Berenices"~"12h 56.7m"~"21°41"~"8.5"~""~""~""~"10.8"~"Spring"~""
"M65"~"NGC 3623"~"GALXY"~"Leo"~"11h 18.9m"~"13°5"~"9.3"~""~""~""~"8.1"~"Spring"~""
"M66"~"NGC 3627"~"GALXY"~"Leo"~"11h 20.2m"~"12°59"~"8.9"~""~""~""~"8.4"~"Spring"~""
"M67"~"NGC 2682"~"OPNCL"~"Cancer"~"8h 50.4m"~"11°49"~"6.1"~""~""~""~"30"~"Winter"~""
"M68"~"NGC 4590"~"GLOCL"~"Hydra"~"12h 39.5m"~"-26°45"~"7.8"~""~""~""~"12"~"Spring"~""
"M69"~"NGC 6637"~"GLOCL"~"Sagittarius"~"18h 31.4m"~"-32°21"~"7.6"~""~""~""~"7.1"~"Summer"~""
"M70"~"NGC 6681"~"GLOCL"~"Sagittarius"~"18h 43.2m"~"-32°18"~"7.9"~""~""~""~"7.8"~"Summer"~""
"M71"~"NGC 6838"~"GLOCL"~"Sagitta"~"19h 53.8m"~"18°47"~"8.3"~""~""~""~"7.2"~"Summer"~""
"M72"~"NGC 6981"~"GLOCL"~"Aquarius"~"20h 53.5m"~"-12°32"~"9.3"~""~""~""~"5.9"~"Summer"~""
"M73"~"NGC 6994 Group of 4 stars"~"4STAR"~"Aquarius"~"20h 59m"~"-12°38"~"9"~""~""~""~"2.8"~"Summer"~""
"M74"~"NGC 628"~"GALXY"~"Pisces"~"1h 36.7m"~"15°47"~"9.4"~""~""~""~"13.9"~"Autumn"~""
"M75"~"NGC 6864"~"GLOCL"~"Sagittarius"~"20h 6.1m"~"-21°55"~"8.5"~""~""~""~"6"~"Summer"~""
"M76"~"NGC 650 Little Dumbell Butterfly Nebula"~"PLNNB"~"Perseus"~"1h 42.3m"~"51°34"~"10.1"~""~""~""~"3.2"~"Autumn"~""
"M77"~"NGC 1068 Cetus A"~"GALXY"~"Cetus"~"2h 42.7m"~"0°1"~"8.9"~""~""~""~"9.2"~"Autumn"~""
"M78"~"NGC 2068"~"LMCDN"~"Orion"~"5h 46.7m"~"0°3"~"8.3"~""~""~""~"10.0"~"Winter"~""
"M79"~"NGC 1904"~"GLOCL"~"Lepus"~"5h 24.5m"~"-24°33"~"7.7"~""~""~""~"8.7"~"Winter"~""
"M80"~"NGC 6093"~"GLOCL"~"Scorpius"~"16h 17m"~"-22°59"~"7.3"~""~""~""~"8.9"~"Summer"~""
"M81"~"NGC 3031 Bodes Galaxy"~"GALXY"~"Ursa_Major"~"9h 55.6m"~"69°4"~"6.9"~""~""~""~"23.3"~"Spring"~""
"M82"~"NGC 3034 Cigar Galaxy"~"GALXY"~"Ursa_Major"~"9h 55.8m"~"69°41"~"8.4"~""~""~""~"9.8"~"Spring"~""
"M83"~"NGC 5236 Southern Pinwheel Galaxy"~"GALXY"~"Hydra"~"13h 37m"~"-29°52"~"7.6"~""~""~""~"14.9"~"Spring"~""
"M84"~"NGC 4374"~"GALXY"~"Virgo"~"12h 25.1m"~"12°53"~"9.1"~""~""~""~"5"~"Spring"~""
"M85"~"NGC 4382"~"GALXY"~"Coma_Berenices"~"12h 25.4m"~"18°11"~"9.1"~""~""~""~"8.8"~"Spring"~""
"M86"~"NGC 4406"~"GALXY"~"Virgo"~"12h 26.2m"~"12°57"~"8.9"~""~""~""~"9.3"~"Spring"~""
"M87"~"NGC 4486 Virgo A"~"GALXY"~"Virgo"~"12h 30.8m"~"12°24"~"8.6"~""~""~""~"7"~"Spring"~""
"M88"~"NGC 4501"~"GALXY"~"Coma_Berenices"~"12h 32m"~"14°25"~"9.6"~""~""~""~"8.1"~"Spring"~""
"M89"~"NGC 4552"~"GALXY"~"Virgo"~"12h 35.7m"~"12°33"~"9.8"~""~""~""~"4"~"Spring"~""
"M90"~"NGC 4569"~"GALXY"~"Virgo"~"12h 36.8m"~"13°10"~"9.5"~""~""~""~"10.5"~"Spring"~""
"M91"~"NGC 4548"~"GALXY"~"Coma_Berenices"~"12h 35.4m"~"14°30"~"10.2"~""~""~""~"7.0"~"Spring"~""
"M92"~"NGC 6341"~"GLOCL"~"Hercules"~"17h 17.1m"~"43°8"~"6.4"~""~""~""~"11.2"~"summer"~""
"M93"~"NGC 2447"~"OPNCL"~"Puppis"~"7h 44.6m"~"-23°52"~"6"~""~""~""~"22"~"winter"~""
"M94"~"NGC 4736"~"GALXY"~"Canes_Venatici"~"12h 50.9m"~"41°7"~"8.2"~""~""~""~"7.6"~"Spring"~""
"M95"~"NGC 3351"~"GALXY"~"Leo"~"10h 44m"~"11°42"~"9.7"~""~""~""~"5.5"~"Spring"~""
"M96"~"NGC 3368"~"GALXY"~"Leo"~"10h 46.8m"~"11°49"~"9.2"~""~""~""~"7.2"~"Spring"~""
"M97"~"NGC 3587 Owl Nebula"~"PLNNB"~"Ursa_Major"~"11h 14.8m"~"55°1"~"9.9"~""~""~""~"4.7"~"Spring"~""
"M98"~"NGC 4192"~"GALXY"~"Coma_Berenices"~"12h 13.8m"~"14°54"~"10.1"~""~""~""~"10.0"~"Spring"~""
"M99"~"NGC 4254"~"GALXY"~"Coma_Berenices"~"12h 18.8m"~"14°25"~"9.9"~""~""~""~"7.2"~"Spring"~""
"M100"~"NGC 4321"~"GALXY"~"Coma_Berenices"~"12h 22.9m"~"15°49"~"9.3"~""~""~""~"9.2"~"Spring"~""
"M101"~"NGC 5457 Pinwheel Galaxy"~"GALXY"~"Ursa_Major"~"14h 3.2m"~"54°21"~"7.9"~""~""~""~"22"~"Spring"~""
"M102"~"NGC 5866 Spindle Galaxy"~"GALXY"~"Draco"~"15h 6.5m"~"55°46"~"9.9"~""~""~""~"5.7"~"Summer"~""
"M103"~"NGC 581"~"OPNCL"~"Cassiopeia"~"1h 33.2m"~"60°42"~"7.4"~""~""~""~"6"~"Autumn"~""
"M104"~"NGC 4594 Sombrero Galaxy"~"GALXY"~"Virgo"~"12h 40m"~"-11°37"~"8"~""~""~""~"9.8"~"Spring"~""
"M105"~"NGC 3379"~"GALXY"~"Leo"~"10h 47.8m"~"12°35"~"9.3"~""~""~""~"2"~"Spring"~""
"M106"~"NGC 4258"~"GALXY"~"Canes_Venatici"~"12h 19m"~"47°18"~"8.4"~""~""~""~"20.6"~"Spring"~""
"M107"~"NGC 6171"~"GLOCL"~"Ophiuchus"~"16h 32.5m"~"-13°3"~"7.9"~""~""~""~"10"~"Summer"~""
"M108"~"NGC 3556"~"GALXY"~"Ursa_Major"~"11h 11.5m"~"55°40"~"10"~""~""~""~"8.1"~"Spring"~""
"M109"~"NGC 3992"~"GALXY"~"Ursa_Major"~"11h 57.6m"~"53°23"~"9.8"~""~""~""~"8.1"~"Spring"~""
"M110"~"NGC 205 Satellite of M31"~"GALXY"~"Andromeda"~"0h 40.4m"~"41°41"~"8.5"~""~""~""~"19.7"~"Autumn"~""
