UM,NGC,CONSTELLATION,MAG,VIEW,Ang. Size (Amin), Rt. Asc., Declin., TYPE, OBJECT REMARKS
MCG 5- 2- 32 ,NGC 181 ,ANDROMEDA,15.5,autumn,0.7,00 38.4,+29 28,"Galaxy -  , , ,eF;eS;irr;vF 400mm_bahtinov.svg 640mm_bahtinov.svg ABR_const.map Herschel400.xls ICObjects.xls Mcat.csv NGCObjects.xls Potporri.txt Readme.txt Revhist.txt SAC_DeepSky_ver81_Excel.xls SAC_deepsky.csv SAC_deepsky_proc.csv SAC_deepsky_test.csv Sac72.txt Sac72_mod.txt Sacdoc.txt astro_select astro_select_b const_seas.map coord_conv.pl junk.dat mesr-mas.xls messier.csv messier.xlsx messier_table ngc_proc.csv ngc_proc_sprdsht.csv ngc_raw.csv ngc_raw.xlsx sac72.zip temp.map tempx tempx.bkp tmp.txt trans type.map type2.map att , "
UGC 387 ,NGC 183 ,ANDROMEDA,12.7,autumn,2.1,00 38.5,+29 31,"Galaxy -  , , ,pF;vS;R;gbM , "
ZwG 500. 59 ,NGC 184 ,ANDROMEDA,14.6,autumn,0.7,00 38.6,+29 27,"Galaxy -  , , ,eF;eS , "
M 110 ,NGC 205 ,ANDROMEDA,8.1,autumn,19.5,00 40.4,+41 41,"Galaxy -  , , HM,vB;vL;mE 165 degrees;vgvmbM ,M31 Companion;UGC 426;H V 18; Member Local Group "
 ,NGC 206 ,ANDROMEDA,12.8,autumn,1.8,00 40.5,+40 44,"Gal. Cl. Nebula -  , , ,vF;vL;mE 0 degrees ,H V 36;A star cloud in the south end of Andromeda Galaxy "
UGC 438 ,NGC 214 ,ANDROMEDA,12.3,autumn,1.9,00 41.5,+25 30,"Galaxy -  , , ,pF;pS;gvlbM;R ,H II 209;UGC 438 "
UGC 440 ,NGC 218 ,ANDROMEDA,14,autumn,1.1,00 41.7,+36 22,"Galaxy -  , , ,eF;vS;R;gbM , "
M 32 ,NGC 221 ,ANDROMEDA,8.1,autumn,8.5,00 42.7,+40 52,"Galaxy -  , , M,vvB;L;R;psmbMN ,Companion to M31; Member of Local Group "
M 31 ,NGC 224 ,ANDROMEDA,3.4,autumn,189,00 42.7,+41 16,"Galaxy -  , , M,!!!eeB;eL;vmE ,Local Group;Andromeda Galaxy;nearest spiral "
UGC 459 ,NGC 226 ,ANDROMEDA,13.3,autumn,0.9,00 42.9,+32 35,"Galaxy -  , , ,eF;S;R;* 13 s 20'' , "
UGC 458 ,NGC 228 ,ANDROMEDA,13.7,autumn,1.2,00 42.9,+23 30,"Galaxy -  , , ,eF;S;R;fainter of 2 ,2nd of 3 "
MCG 4- 2- 49 ,NGC 229 ,ANDROMEDA,14.5,autumn,1,00 43.1,+23 31,"Galaxy -  , , ,vF;S;R;smaller of 2 , "
UGC 464 ,NGC 233 ,ANDROMEDA,12.4,autumn,1.7,00 43.6,+30 35,"Galaxy -  , , ,F;vS;R;lbM ,H III 149 "
PGC 2666 ,AND I ,ANDROMEDA,13.2,autumn,4.0,00 45.7,+38 03,"Galaxy -  , , , ,Andromeda Dwarf;Member Local Group "
MCG 5- 2- 43 ,NGC 243 ,ANDROMEDA,13.6,autumn,0.9,00 46.0,+29 58,"Galaxy -  , , ,F;vS;R;gbM;* 10 p , "
UGC 491 ,NGC 252 ,ANDROMEDA,12.4,autumn,1.4,00 48.0,+27 37,"Galaxy -  , , ,pB;S;R;pmbM;r;** p ,H II 609;Brightest in group;UGC 491 "
MCG 4- 3- 5 ,NGC 258 ,ANDROMEDA,15,autumn,0.5,00 48.2,+27 39,"Galaxy -  , , ,eF;S;vf 400mm_bahtinov.svg 640mm_bahtinov.svg ABR_const.map Herschel400.xls ICObjects.xls Mcat.csv NGCObjects.xls Potporri.txt Readme.txt Revhist.txt SAC_DeepSky_ver81_Excel.xls SAC_deepsky.csv SAC_deepsky_proc.csv SAC_deepsky_test.csv Sac72.txt Sac72_mod.txt Sacdoc.txt astro_select astro_select_b const_seas.map coord_conv.pl junk.dat mesr-mas.xls messier.csv messier.xlsx messier_table ngc_proc.csv ngc_proc_sprdsht.csv ngc_raw.csv ngc_raw.xlsx sac72.zip temp.map tempx tempx.bkp tmp.txt trans type.map type2.map close , "
UGC 497 ,NGC 260 ,ANDROMEDA,13.5,autumn,0.8,00 48.6,+27 41,"Galaxy -  , , ,eF;pS;lE ,NGC 252 group "
UGC 499;Mrk 348 ,NGC 262 ,ANDROMEDA,13.1,autumn,1.4,00 48.8,+31 57,"Galaxy -  , , ,eF;vS;R;v diffic , "
OCL 312 ,NGC 272 ,ANDROMEDA,8.5,autumn,,00 51.4,+35 49,"Open Cluster - 8,9, ,Cl;L;lC , "
UGC 534 ,NGC 280 ,ANDROMEDA,13.2,autumn,1.7,00 52.5,+24 21,"Galaxy -  , , ,eF;S;R;*15 f 30'' ,H III 477;distorted;asym ecc nucl region;UGC 534 "
UGC 573 ,NGC 304 ,ANDROMEDA,13,autumn,1.1,00 56.1,+24 08,"Galaxy -  , , ,pF;S;R;svlbM ,eruptive ?;sff of 2 "
NGC 317-1 ,NGC 317A ,ANDROMEDA,14.5,autumn,1.4,00 57.7,+43 48,"Galaxy -  , , ,eeF;pS;lE;D 400mm_bahtinov.svg 640mm_bahtinov.svg ABR_const.map Herschel400.xls ICObjects.xls Mcat.csv NGCObjects.xls Potporri.txt Readme.txt Revhist.txt SAC_DeepSky_ver81_Excel.xls SAC_deepsky.csv SAC_deepsky_proc.csv SAC_deepsky_test.csv Sac72.txt Sac72_mod.txt Sacdoc.txt astro_select astro_select_b const_seas.map coord_conv.pl junk.dat mesr-mas.xls messier.csv messier.xlsx messier_table ngc_proc.csv ngc_proc_sprdsht.csv ngc_raw.csv ngc_raw.xlsx sac72.zip temp.map tempx tempx.bkp tmp.txt trans type.map type2.map close f , "
