,NGC 0828,And,12.3,,2.9x2.2,02 10 09.6,+39 11 26,GX,"pB,S,iR,D* f 15''",II 605
,NGC 0834,And,13.1,,1.1x0.5,02 11 01.4,+37 40 01,GX,"vF,S,lE",III 567
,NGC 0850,Cet,12.9,,1.1x1.1,02 11 13.6,-01 29 08,GX,"eF,eS,iF",III 259
,NGC 0841,And,12.6,,1.8x1.0,02 11 17.4,+37 29 50,GX,"pB,vS,mbMN=*13,14",III 604
,NGC 0853,Cet,12.7,,2.0x1.4,02 11 41.3,-09 18 20,GX,"F,S,E",II 486
,NGC 0855,Tri,12.6,,2.6x1.0,02 14 03.7,+27 52 38,GX,"F,S,lE90,bM",II 613
,NGC 0863,Cet,13,,1.1x1.0,02 14 33.6,-00 46 00,GX,"vF,R,bM,stellar",III 260
,NGC 0864,Cet,10.9,,4.7x3.5,02 15 27.8,+06 00 09,GX,"eF,cL,R,gbM",III 457
,NGC 0873,Cet,12.4,,1.7x1.2,02 16 32.4,-11 20 56,GX,"F,pL,R,vglbM",II 474
,NGC 0867,Cet,,,,02 17 04.8,+01 14 39,Dup,"eF,vS,R,bM",III 2
,NGC 0871,Ari,13.6,,1.2x0.5,02 17 10.7,+14 32 52,GX,"vF,vS,E,*10 sf 5'",III 201
,NGC 0877,Ari,11.9,,2.4x1.8,02 17 59.4,+14 32 40,GX,"pF,pL,lE,pgbM,*9 4' sf",II 246
,NGC 0881,Cet,12.4,,2.2x1.5,02 18 45.2,-06 38 20,GX,"F,pS,E,bM,2or3* nr",II 436
,NGC 0869,Per,3.5,,30,02 19 04,+57 08.1,OC,"Cl,vvL,vRi,*7...14",VI 33
,NGC 0883,Cet,12.4,,1.6x1.2,02 19 05.2,-06 47 29,GX,"pF,pS,vlE,bM,D* nr",II 437
,NGC 0887,Cet,12,,1.8x1.4,02 19 32.6,-16 04 12,GX,"F,S,iR,pgbM",III 486
,NGC 0895,Cet,11.7,,3.6x2.6,02 21 36.2,-05 31 14,GX,"F,vL,iR,gbM,Dneb w 894",II 438
