,NGC 0251,PISCIS AUSTRINUS,13.2,autumn,3.1,00 47 54.0,+19 35 48,"Galaxy - vF,S,R,lbM,* inv,2 vS st f,III 204 "
,NGC 0252,ANDROMEDA,12.4,autumn,1.9,00 48 01.5,+27 37 26,"Galaxy - pB,S,R,pmbM,r,** p,II 609 "
,NGC 0257,PISCIS AUSTRINUS,12.6,autumn,2.3,00 48 01.6,+08 17 48,"Galaxy - PL,lE,gbM,r,II 863 "
,NGC 0259,CARINA,12.5,winter,2.4,00 48 03.2,-02 46 31,"Galaxy - F,S,E 135 degrees,lbM,II 703= II 621 "
,NGC 0266,PISCIS AUSTRINUS,11.6,autumn,4.2,00 49 47.8,+32 16 40,"Galaxy - pB,pS,lE,psbM,r,* 8 sf 4',III 153 "
,NGC 0268,CARINA,13.1,winter,1.9,00 50 09.4,-05 11 38,"Galaxy - vF,pS,ilE,r,III 463 "
,NGC 0270,CARINA,12.1,winter,2.6,00 50 32.4,-08 39 07,"Galaxy - pF,vS,iR,pgbM,III 955 "
,NGC 0271,CARINA,12,winter,2.7,00 50 41.9,-01 54 37,"Galaxy - pF,S,lE,psbM,* 8 f 5 sec.,II 446 "
,NGC 0273,CARINA,12.9,winter,2.3,00 50 48.4,-06 53 08,"Galaxy - vF,vS,III 430 "
,NGC 0274,CARINA,11.8,winter,2.1,00 51 01.9,-07 03 28,"Galaxy - pB,pS,smbM,np of 2,III 429 "
,NGC 0278,CANIS MAJOR,10.8,winter,2.9,00 52 04.3,+47 33 02,"Galaxy - cB,pL,R,2 st 10 nr,I 159 "
,NGC 0279,CARINA,12.7,winter,2.0,00 52 08.9,-02 13 07,"Galaxy - vF,S,iR,bM,stellar,III 439 "
,NGC 0280,ANDROMEDA,13.2,autumn,2.0,00 52 29.9,+24 21 01,"Galaxy - eF,S,R,III 477 "
,NGC 0288,SAGITTA,8.1,summer,19.5,00 52 47.4,-26 35 24,"Globular Cluster - B,L,lE,st 12...16,VI 20 "
,NGC 0296,PISCIS AUSTRINUS,12.6,autumn,2.2,00 55 07.6,+31 32 32,"Galaxy - F,LF,* 10 nf 2',II 214 "
,NGC 0315,PISCIS AUSTRINUS,11.2,autumn,3.8,00 57 48.8,+30 21 09,"Galaxy - pB,pL,R,gbM,* 9 nf 3',II 210 "
,NGC 0337,CARINA,11.6,winter,3.4,00 59 50.3,-07 34 43,"Galaxy - pF,L,E,glbM,* 10 f 21 sec,II 433 "
